dat;prazd
26.04.2024;День участников ликвидации последствий радиационных аварий и катастроф и памяти жертв этих аварий и катастроф
26.04.2024;День нотариата в России
27.04.2024;День российского парламентаризма
27.04.2024;День образования Республики Саха
28.04.2024;День работников скорой медицинской помощи
28.04.2024;День химической безопасности
30.04.2024;День пожарной охраны России
01.05.2024;Праздник Весны и Труда
05.05.2024;День водолаза в России
05.05.2024;День шифровальщика в России
06.05.2024;День святого Георгия Победоносца
07.05.2024;День радио
07.05.2024;День создания вооруженных сил России
07.05.2024;День связиста и специалиста радиотехнической службы ВМФ России
08.05.2024;День работников Федеральной службы по военно-техническому сотрудничеству России
08.05.2024;День оперативного работника уголовно-исполнительной системы России
09.05.2024;День Победы
13.05.2024;День Черноморского флота ВМФ России
13.05.2024;День охранно-конвойной службы МВД России
14.05.2024;День фрилансера в России
15.05.2024;Международный день семей
17.05.2024;Всемирный день электросвязи и информационного общества
18.05.2024;Международный день музеев
18.05.2024;День Балтийского флота ВМФ России
19.05.2024;День ставропольского края
21.05.2024;День полярника в России
21.05.2024;День Тихоокеанского флота ВМФ России
21.05.2024;День военного переводчика в России
21.05.2024;День инвентаризатора
24.05.2024;День славянской письменности и культуры
24.05.2024;День кадровика в России
25.05.2024;День филолога
25.05.2024;День сварщика в России
26.05.2024;День российского предпринимательства
27.05.2024;Общероссийский день библиотек (День библиотекаря)
27.05.2024;День химика в России
28.05.2024;День пограничника в России
29.05.2024;День военного автомобилиста ВС России
29.05.2024;День ветеранов таможенной службы
31.05.2024;День российской адвокатуры
01.06.2024;Международный день защиты детей
01.06.2024;День Северного флота ВМФ России
04.06.2024;День крановщика
05.06.2024;День эколога
06.06.2024;День русского языка
08.06.2024;День Республики Карелия
09.06.2024;День пивовара в России
09.06.2024;День мебельщика в России
10.06.2024;День работников текстильной и легкой промышленности
12.06.2024;День России
14.06.2024;День работника миграционной службы России
17.06.2024;День медицинского работника
20.06.2024;День специалиста минно-торпедной службы ВМФ России
21.06.2024;День кинолога
22.06.2024;День памяти и скорби - день начала Великой Отечественной войны
23.06.2024;День балалайки
24.06.2024;День Республики Чувашия
27.06.2024;День молодежи России
29.06.2024;День партизан и подпольщиков России
29.06.2024;День кораблестроителя России
30.06.2024;День сотрудника службы охраны уголовно-исполнительной системы Министерства юстиции России
30.06.2024;День изобретателя и рационализатора в России
01.07.2024;День работников морского и речного флота России
01.07.2024;День ветеранов боевых действий
03.07.2024;День ГАИ России
03.07.2024;День образования Республики Алтай
03.07.2024;День республики Хакасия
07.07.2024;День Ивана Купала
08.07.2024;День любви, семьи и верности
08.07.2024;День российской почты
08.07.2024;День рыбака в России
11.07.2024;День светооператора
15.07.2024;День Металлурга
17.07.2024;День основания морской авиации ВМФ России
19.07.2024;День юридической службы Министерства внутренних дел России
24.07.2024;День кадастрового инженера в России
25.07.2024;День сотрудника органов следствия Российской Федерации
25.07.2024;День речной полиции в России
26.07.2024;День парашютиста в России
28.07.2024;День Крещения Руси
28.07.2024;День PR-специалиста в России
29.07.2024;День Военно-Морского Флота России
01.08.2024;День Тыла Вооруженных Сил России
01.08.2024;Всероссийский день инкассатора
02.08.2024;День Воздушно-десантных войск России
05.08.2024;День железнодорожника в России
06.08.2024;День Железнодорожных войск в России
07.08.2024;День Службы специальной связи и информации Федеральной службы охраны России
11.08.2024;День физкультурника в России
12.08.2024;День Военно-воздушных сил России
12.08.2024;День строителя
15.08.2024;День Республики Тыва
19.08.2024;День Воздушного Флота России
22.08.2024;День Государственного флага Российской Федерации
22.08.2024;День Республики Коми
26.08.2024;День шахтера в России
27.08.2024;День российского кино
30.08.2024;День Республики Татарстан
01.09.2024;День знаний в России
02.09.2024;День российской гвардии
02.09.2024;День работников нефтяной, газовой и топливной промышленности в России
02.09.2024;День патрульно-постовой службы полиции МВД России
03.09.2024;День солидарности в борьбе с терроризмом
04.09.2024;День специалиста по ядерному обеспечению России
08.09.2024;День Новороссийского военно-морского района
08.09.2024;День финансиста в России
09.09.2024;День танкиста в России
13.09.2024;День программиста в России
13.09.2024;День парикмахера в России
16.09.2024;День работников леса в России
19.09.2024;День оружейника в России
24.09.2024;День Государственного герба и Государственного флага республики Крым
27.09.2024;День воспитателя и всех дошкольных работников в России
28.09.2024;День работников атомной промышленности в России
28.09.2024;День генерального директора в России
29.09.2024;День отоларинголога
30.09.2024;День машиностроителя в России
01.10.2024;День пожилых людей
01.10.2024;День сухопутных войск России
04.10.2024;День космических войск России
04.10.2024;День гражданской обороны МЧС России
05.10.2024;День учителя в России
05.10.2024;День образования Республики Адыгея
05.10.2024;День работников уголовного розыска России
06.10.2024;День российского страховщика
07.10.2024;День образования штабных подразделений МВД России
08.10.2024;День командира наводного, подводного и воздушного корабля ВМФ России
11.10.2024;День Республики Башкортостан
14.10.2024;День работника сельского хозяйства и перерабатывающей промышленности в России
14.10.2024;День работников заповедного дела в России
20.10.2024;День военного связиста в России
21.10.2024;День работников пищевой промышленности России
21.10.2024;День работников дорожного хозяйства в России
22.10.2024;День финансово-экономической службы ВС России
23.10.2024;День работников рекламы в России
24.10.2024;День подразделений специального назначения ВС России
25.10.2024;День Приморского края
25.10.2024;День таможенника Российской Федерации
25.10.2024;День работника кабельной промышленности в России
27.10.2024;Всероссийский день гимнастики
28.10.2024;День автомобилиста в России
28.10.2024;День бабушек и дедушек
29.10.2024;День работников вневедомственной охраны Росгвардии
30.10.2024;День инженера-механика в России
31.10.2024;День сурдопереводчика в России
31.10.2024;День работников СИЗО и тюрем в России
01.11.2024;День судебного пристава в России
04.11.2024;День народного единства
05.11.2024;День военного разведчика в России
07.11.2024;День Октябрьской революции 1917 года в России
08.11.2024;День памяти погибших при исполнении служебных обязанностей сотрудников органов внутренних дел и военнослужащих внутренних войск МВД России
10.11.2024;День сотрудника органов внутренних дел Российской Федерации
11.11.2024;День экономиста в России
11.11.2024;День работника восстановительного поезда в России
12.11.2024;День работников Сбербанка России
12.11.2024;День специалиста по безопасности в России
13.11.2024;День войск радиационной, химической и биологической защиты России
14.11.2024;День социолога в России
15.11.2024;Всероссийский день призывника
17.11.2024;День участкового в России
18.11.2024;День рождения Деда Мороза
19.11.2024;День ракетных войск и артиллерии в России
19.11.2024;День работника стекольной промышленности
21.11.2024;День работника налоговых органов Российской федерации
21.11.2024;День бухгалтера в России
22.11.2024;День психолога в России
25.11.2024;День российского военного миротворца
25.11.2024;День матери в России
27.11.2024;День морской пехоты России
27.11.2024;День оценщика в России
01.12.2024;Всемирный день борьбы со СПИДом
01.12.2024;Всероссийский день хоккея
02.12.2024;День банковского работника России
02.12.2024;День Пермского края
03.12.2024;День неизвестного солдата
03.12.2024;Международный день инвалидов
03.12.2024;День юриста в России
07.12.2024;День инженерно-авиационной службы ВКС России
09.12.2024;День Героев Отечества в России
09.12.2024;День ведомственной охраны железнодорожного транспорта России
12.12.2024;День Конституции Российской Федерации
15.12.2024;День памяти журналистов, погибших при исполнении профессиональных обязанностей
17.12.2024;День ракетных войск стратегического назначения Вооруженных Сил России
17.12.2024;День сотрудников фельдъегерской службы России
18.12.2024;День работников ЗАГСа в России
18.12.2024;День подразделений собственной безопасности органов внутренних дел России
19.12.2024;День военной контрразведки в России
19.12.2024;День снабженца в России
20.12.2024;День работника органов государственной безопасности РФ
22.12.2024;День энергетика в России
23.12.2024;День дальней авиации ВВС России
27.12.2024;День спасателя Российской Федерации
